ID,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7
188,-0.241389527,-0.019185238,1.43846047,-0.445293278,-0.102004027,0.814209951,0.589485196,0.365504813
189,-0.3515336,-0.036363296,1.446906956,0.090536673,0.205924522,1.3387721,0.732174844,0.341489387
190,-0.280996211,0.269890984,0.976853995,0.035654084,0.444981217,0.70508154,0.919056808,0.209411861
191,-0.342192893,0.64249043,0.791062135,0.097546505,0.795255893,0.393187204,1.302528804,-0.294941373
192,-0.947668264,0.534086212,0.436323415,0.036295884,0.3434689,0.507568648,1.562727635,-0.688268091
193,-0.618858664,-0.071312513,0.810768319,0.043303641,0.336919263,0.634923339,0.35729822,-0.30093974
194,-0.872454449,-0.496040251,0.574287261,0.045861908,0.235399899,0.751851271,0.570271115,-0.375998012
195,-0.7283148,0.01221122,0.585546958,0.022063848,0.631593506,0.650515172,0.503123209,-0.388016704
196,-0.651344089,0.040051618,0.07309709,0.013847662,0.395864984,0.133155576,1.023419323,-0.511113149
197,-0.57873199,1.240780083,0.726310309,0.026632907,0.310724744,0.458180332,1.0223068,-0.580173054
198,-0.581217761,1.048260555,1.033145629,0.007504144,0.726522965,0.718073533,1.459477643,-0.093789303
199,-0.224546546,0.492620769,1.711441314,0.028179479,0.271424912,1.123291038,0.100942794,0.548595907
200,-0.516738707,0.492027669,0.836107778,0.013129841,0.002838478,0.351589757,0.209653856,-0.162841888
201,-0.598311661,1.015088607,0.4391332,0.035799532,0.500641046,0.182569848,0.530326318,-0.568165341
202,0.017840604,0.45293234,1.56511322,-0.023075096,0.41551188,0.858372632,0.38611986,0.56059996
203,-0.275922434,0.417390531,1.536974256,0.012251477,0.287799003,0.668703962,1.032621557,0.38050988
204,-0.30276285,0.359338351,1.185154971,1.465337335,1.021060296,0.520566409,0.574114001,0.224424247
205,-0.797844825,0.008065107,0.636232729,1.419088006,0.782164674,1.050577697,0.564203703,0.005273416
206,-0.46186905,-1.762522052,0.93462499,1.470592365,0.72979577,1.092129001,0.820357419,0.161381008
207,-0.47413765,-1.446791125,0.957151238,1.457038288,0.958891099,1.164832249,1.587605015,0.23643196
208,-0.555608483,-1.080115567,0.357488401,1.507079411,0.988339295,0.252781401,1.640291848,-0.318960459
209,-0.650739728,0.43753028,-0.915505027,1.482354735,1.204274948,-1.074900733,1.762755573,-1.661328376
210,-1.440485613,-0.160760897,-1.140877156,1.50056217,1.256620698,-0.559094119,0.680600189,-1.748441938
